model,deployment,protocol,mode,location,iterations,errors,concurrency,total_time_sec,throughput_fps,avg_latency_fps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p95_ms,latency_p99_ms,latency_min_ms,latency_max_ms,test_type,timestamp
yolov11l,base-yolo,http,concurrent,internal,200,0,8,9.456540107001274,21.14938420785921,2.6918091870016045,371.4973575500335,377.98001100054535,379.7592600003554,380.18448099865054,381.37006999932055,51.10244900060934,382.1579900013603,internal,2026-01-02T11:57:53.559485
yolov11l,nim-binary,grpc,concurrent,internal,200,0,8,0.8523447830002624,234.64682835976063,32.65711327110693,30.621200095010863,30.19038399997953,41.3308600000164,51.398702999904344,64.97626600003059,8.761094999954366,68.28758399979051,internal,2026-01-02T10:16:09.633415
yolov11l,nim-grpc,grpc,concurrent,internal,200,0,8,0.8763018189997638,228.23186676513552,31.2256965037307,32.02490614998851,31.357551999917632,44.38061300015761,49.15597500030344,69.63103799989767,11.046983000142063,69.95939099988391,internal,2026-01-02T10:16:14.153402
yolov11l,nim-batching,grpc,concurrent,internal,200,0,8,0.8668850099984411,230.7111066557255,31.96684676388241,31.282409784935226,29.70476799964672,43.045504000474466,48.21408799944038,61.03212400012126,9.32212800034904,71.38872100040317,internal,2026-01-02T11:58:07.621114
yolov11m,base-yolo,http,concurrent,internal,200,0,8,9.486197043001084,21.08326435698065,2.68285263591448,372.73758036998515,377.7505830003065,382.69938499979617,385.22417599961045,398.34024899937504,50.833760999012156,398.48404099939216,internal,2026-01-02T11:58:21.588394
yolov11m,nim-binary,grpc,concurrent,internal,200,0,8,0.837539396000011,238.7947372448106,33.0699999059147,30.238887294981396,28.69267599999148,44.53117999992173,49.69870299964896,56.26563799978612,9.57403099982912,58.93422200006171,internal,2026-01-02T10:16:38.210079
yolov11m,nim-grpc,grpc,concurrent,internal,200,0,8,0.836554483999862,239.07588068111173,33.56971236491998,29.788756874932005,28.186424000523402,41.03910399862798,47.31747999903746,58.855257999312016,10.710606999055017,78.01619400015625,internal,2026-01-02T11:58:30.707056
yolov11m,nim-batching,grpc,concurrent,internal,200,0,8,0.8603197489997001,232.47170628425238,31.92810591048213,31.320367165021707,30.623784999988857,45.603257000038866,49.49286900000516,63.65849199983131,10.697280999920622,64.56510899988643,internal,2026-01-02T10:16:47.512434
yolov11s,base-yolo,http,concurrent,internal,200,0,8,9.500031802999729,21.052561101621578,2.6792038540303933,373.24520808510897,378.2756380005594,384.2240240010142,397.0166760009306,400.35077900029137,50.95167100080289,401.71630299846584,internal,2026-01-02T11:58:49.072460
yolov11s,nim-binary,grpc,concurrent,internal,200,0,8,0.8468858569999611,236.15933404353592,33.27976890187076,30.04828558000554,28.92911799972353,43.768299000021216,48.99530699958632,64.24070000002757,12.585249000039767,68.96695999967051,internal,2026-01-02T11:58:53.497793
yolov11s,nim-grpc,grpc,concurrent,internal,200,0,8,0.8582139170002847,233.04213091656686,32.54695911023074,30.724836584984132,28.92450599983931,42.766038999616285,48.185294999711914,56.3757979998627,11.391405999802373,56.40047099996082,internal,2026-01-02T10:17:11.015918
